Site_ID,ann_GPP,upper_GPP,ann_ER,lower_ER
IT-BCi,1792.58636363636,16.935115,-1575.75727272727,-9.419361
IT-CA1,1470.99,9.84996,-1073.95325,-5.19992
IT-CA2,851.15,8.48512,-819.20275,-4.22547
IT-CA3,1226.09475,12.6571,-741.773,-4.56611
IT-Col,1635.64210526316,12.86392,-803.039368421053,-4.429568
IT-Cp2,2087.11333333333,9.1920025,-1387.48333333333,-6.2965425
IT-Cpz,2014.72333333333,9.0715245,-1452.14111111111,-7.1489235
IT-Isp,2095.795,15.16962,-2055.51,-9.8841645
IT-La2,2470.34,12.196075,-1091.64333333333,-7.0348425
IT-Lav,2245.63583333333,12.57092,-402.45825,-3.128439
IT-MBo,1428.95454545455,12.638015,-1384.71181818182,-9.5795955
IT-Noe,1097.71636363636,6.3573835,-906.795727272727,-4.1302255
IT-PT1,1646.42333333333,13.1174,-1123.962,-6.6192775
IT-Ren,1127.12916666667,9.5721325,-586.4484,-4.6193835
IT-Ro1,1489.01,11.46008,-1219.29144444444,-7.006393
IT-Ro2,1460.617,12.25074,-771.6698,-4.53626
IT-SR2,2318.655,12.201125,-1985.595,-10.46181
IT-SRo,2097.20928571429,11.19607,-1698.53142857143,-9.12283
IT-Tor,1017.28271428571,8.969842,-857.830285714286,-5.179152
JP-MBF,1034.805,9.833645,-652.4735,-4.910415
JP-SMF,1643.062,9.195425,-1635.016,-7.5761225
NL-Hor,1617.5675,10.765455,-1340.8975,-7.767316
NL-Loo,1623.00176470588,9.902797,-1235.82411764706,-6.488616
NO-Adv,358.151,4.1216975,-290.608,-2.2562475
NO-Blv,14.89385,0.556078,-21.884395,-0.27817225
RU-Che,305.88825,4.5906255,-238.87275,-2.52672
RU-Cok,375.790272727273,4.60396999999999,-232.504809090909,-2.41718
RU-Fyo,1486.90705882353,11.73572,-1628.11588235294,-11.18194
RU-Ha1,605.425,5.1249425,-447.471,-3.8472975
SD-Dem,936.36775,7.09971,-607.985,-3.43107
SN-Dhr,1982.473,14.4013,-1434.564,-7.3765
US-AR1,521.0865,5.41528,-623.31625,-4.05123
US-AR2,319.49235,3.6763,-354.812,-2.58839
US-ARb,1062.1755,11.88343,-1025.9235,-7.1972705
US-ARc,1092.0385,9.878434,-1092.362,-7.217983
US-ARM,682.531,7.609662,-636.6091,-4.914708
US-Blo,1514.87054545455,9.0489,-755.841545454545,-5.736448
US-Cop,96.38808,1.14012,-60.37768,-0.4573864
US-GBT,658.568,5.236377,-160.568543333333,-2.999453
US-GLE,620.2359,6.591911,-667.9056,-5.557574
