Site_ID,ann_GPP,upper_GPP,ann_ER,lower_ER
IT-Ren,1421.75725,9.683902,-699.7,-4.6193835
IT-Ro1,1489.01,11.512475,-1219.29144444444,-7.006393
IT-Ro2,1460.617,12.477505,-771.6698,-4.53626
IT-SR2,2318.655,12.22285,-1985.595,-10.46181
IT-SRo,2097.20928571429,11.205795,-1698.53142857143,-9.12283
IT-Tor,1017.28271428571,9.4098265,-857.830285714286,-5.179152
JP-MBF,1034.805,10.240075,-652.4735,-4.910415
JP-SMF,1643.062,9.21968,-1635.016,-7.5761225
NL-Hor,1617.5675,10.80114,-1340.8975,-7.767316
NL-Loo,1623.00176470588,9.925045,-1235.82411764706,-6.488616
NO-Adv,358.151,4.34642,-290.608,-2.2562475
NO-Blv,40.6549,0.57980975,-38.553,-0.27817225
RU-Che,437.9545,4.8281775,-251.634,-2.52672
RU-Cok,385.4258,4.8880675,-232.07749,-2.41718
RU-Fyo,1486.90705882353,11.951245,-1628.11588235294,-11.18194
RU-Ha1,605.425,5.3855375,-447.471,-3.8472975
SD-Dem,936.36775,7.1023685,-607.985,-3.43107
SN-Dhr,1982.473,14.40289,-1434.564,-7.3765
US-AR1,521.0865,5.7999435,-623.31625,-4.05123
US-AR2,319.49235,4.0279725,-354.812,-2.58839
US-ARb,1062.1755,12.839615,-1025.9235,-7.1972705
US-ARc,1092.0385,10.54912,-1092.362,-7.217983
US-ARM,682.531,8.2820375,-636.6091,-4.914708
US-Blo,1514.87054545455,9.0830955,-755.841545454545,-5.736448
US-Cop,96.38808,1.2227395,-60.37768,-0.4573864
US-GBT,658.568,5.3172225,-160.568543333333,-2.999453
US-GLE,643.826375,6.930098,-693.459125,-5.557574
US-Ha1,1422.41768181818,13.55915,-1207.54690909091,-7.264885
US-KS2,1830.275,8.058014,-1538.0725,-6.62728
US-Los,892.677181818182,9.0111275,-868.427818181818,-6.364309
US-Me1,791.3125,4.711995,-695.559,-4.06292
US-Me2,1671.79076923077,10.0479,-1117.76576923077,-8.6911115
US-Me6,959.4868,6.1481145,-712.007,-4.8332975
US-MMS,1723.480625,14.42227,-1293.575625,-7.9413045
US-Myb,1466.481,12.79328,-1394.478,-9.7146
US-Ne1,1519.2896,23.905475,-1251.1494,-10.60128
US-Ne2,1406.15463636364,23.7874,-1106.44081818182,-9.736498
US-Ne3,1222.819,19.77873,-965.967,-8.433408
US-NR1,844.2536875,6.66925,-673.40625,-4.938446
US-ORv,887.643,7.273132,-625.39,-3.502448
US-PFa,997.831842105263,10.055185,-987.652789473684,-8.348776
US-Prr,403.2541,4.47152,-283.808,-2.4832965
US-SRG,422.655857142857,5.3909755,-412.228857142857,-3.647014
US-SRM,282.740090909091,3.7350565,-313.367363636364,-2.6121905
US-Syv,1368.044,12.61625,-1346.3486,-10.652005
US-Ton,894.872071428571,7.019216,-747.849642857143,-5.023122
US-Tw1,2379.98333333333,13.76821,-1428.51,-6.7838675
