Site_ID,ann_GPP_C,upper_GPP_C,ann_ER_C,lower_ER_C,PAR_sum,Stream_PAR_sum,gpp_C_mean,gpp_C_cv,gpp_C_skew,gpp_C_kurt,gpp_C_amp,gpp_C_phase,gpp_C_ar1,er_C_mean,er_C_cv,er_C_skew,er_C_kurt,er_C_amp,er_C_phase,er_C_ar1,Wtemp_mean,Wtemp_cv,Wtemp_skew,Wtemp_kurt,Wtemp_amp,Wtemp_phase,Wtemp_ar1,Disch_mean,Disch_cv,Disch_skew,Disch_kurt,Disch_amp,Disch_phase,Disch_ar1,PAR_mean,PAR_cv,PAR_skew,PAR_kurt,PAR_amp,PAR_phase,PAR_ar1,LAI_mean,LAI_cv,LAI_skew,LAI_kurt,LAI_amp,LAI_phase,LAI_ar1,MOD_ann_NPP
nwis_07061290,36.9485232515736,0.238375559530382,-368.80378017809,-2.47709759380416,12.3577196591457,5.11955207747445,0.1,0.4,0.21,0.11,0.82,198.059530654847,0.401,-1.01,-0.38,-0.24,0.14,0.53,319.657486909571,0.723,15.7,0.32,0.03,-0.03,1.38,211.617018309607,0.922,3.63,0.71,0.65,0.46,0.23,74.01963854446,0.572,33.83,0.25,0,-0.01,1.2,182.767130073691,0.281,2.48,0.45,0.2,-0.12,1.31,192.541123249053,0.941,758.35
nwis_07075250,26.1140464380065,0.204654930739004,-112.65499669548,-1.0685910299724,12.8166011372347,11.2364730778193,0.07,0.46,0.35,0.16,0.89,142.550941212321,0.629,-0.31,-0.51,-0.43,0.25,0.6,298.27487954654,0.747,15.05,0.27,0.04,-0.01,1.36,211.098191168227,0.89,2.34,0.72,0.6,0.39,0.34,75.4443316359859,0.432,35.09,0.24,-0.01,0.01,1.2,183.086937304351,0.334,3.04,0.42,0.09,-0.19,1.34,194.060996479067,0.912,728.28
nwis_07075270,21.9419399937789,0.203531181728942,-110.519832998446,-0.851205070115573,12.8084406590448,11.3649005520641,0.06,0.51,0.39,0.18,0.98,136.291916193101,0.602,-0.3,-0.51,-0.33,0.11,0.64,18.2442777439642,0.782,14.78,0.32,0,-0.04,1.37,208.637667181455,0.865,3.05,0.73,0.64,0.44,0.6,99.9626715095043,0.61,35.09,0.25,0.01,0.02,1.14,183.323505556902,0.308,2.63,0.41,0.06,-0.19,1.36,197.546508261778,0.871,899.4
nwis_07109500,677.587093126618,4.80683259842648,-1596.52692700992,-8.8605160868571,13.8222633185928,13.2203152497037,1.85,0.43,0.3,0.18,0.21,33.0123265123755,0.936,-4.37,-0.3,-0.18,0.06,0.21,261.734590260149,0.918,12.56,0.32,-0.01,-0.02,1.34,207.702628564662,0.808,23.71,0.5,0.58,0.35,0.77,172.43316241206,0.939,37.84,0.22,0.01,-0.03,1.31,173.354786302735,0.371,0.56,0.39,0.24,0.02,1.28,201.532863368255,0.976,265.371428571429
nwis_07143672,213.52707783553,1.8661236031931,-324.197359357578,-2.18569311736855,12.8865828849345,11.991872026242,0.58,0.5,0.34,0.18,0.59,156.103152461834,0.836,-0.89,-0.39,-0.3,0.21,0.75,361.542826872005,0.504,14.7,0.35,-0.02,-0.04,1.36,198.296443707882,0.861,5.27,0.85,0.85,0.72,0.28,184.465106846553,0.887,35.28,0.25,0.02,-0.01,1.25,178.02892116918,0.279,1.22,0.34,0.21,0.06,1.17,175.926772175371,0.989,411.125
nwis_07144100,418.241050848892,3.30208559341945,-482.920834865718,-2.97558802966432,12.9390860496672,12.2793571008431,1.14,0.46,0.29,0.14,0.57,150.469735232139,0.842,-1.32,-0.33,-0.2,0.15,0.8,345.774945616384,0.644,14.94,0.35,-0.02,-0.04,1.37,196.31406138101,0.838,7.92,0.84,0.84,0.73,0.26,186.558683479127,0.867,35.42,0.25,0.02,-0.02,1.25,177.465986418136,0.277,1.08,0.34,0.36,0.16,1.03,195.990653219876,0.986,426.771428571429
nwis_07164500,1318.60907127899,8.19014597403615,-1161.08161976711,-7.79188282471971,13.3096383431256,13.2162833726494,3.61,0.34,0.14,0.1,0.95,200.62216960646,0.667,-3.18,-0.32,-0.27,0.15,0.99,20.8927802421167,0.478,17.4,0.29,-0.05,-0.03,1.37,204.48032572037,0.813,59.51,0.67,0.56,0.35,0.46,114.715401568778,0.941,36.43,0.24,0,-0.02,1.25,179.381618961949,0.276,0.34,0.3,0.03,-0.05,1.36,187.311992852306,0.943,170.5
nwis_07177500,88.1181545883229,0.56339484375063,-198.137695355802,-1.3432977473002,13.0045900108446,12.5340687196109,0.24,0.38,0.22,0.14,0.66,158.822626343752,0.637,-0.54,-0.34,-0.26,0.23,0.27,37.5105847865362,0.588,16.18,0.32,-0.05,-0.01,1.36,202.560506650048,0.873,11.41,0.64,0.71,0.54,0.36,123.543088373906,0.728,35.63,0.25,0.01,-0.02,1.22,180.748375325965,0.319,1.42,0.36,0.15,-0.03,1.29,187.492525807564,0.968,366.175
nwis_07178200,56.1550393639349,0.467216191356777,-162.25683200874,-1.10889808525662,13.0234675021332,12.78104093778,0.15,0.45,0.35,0.22,0.58,154.43561455599,0.564,-0.44,-0.41,-0.4,0.32,0.04,10.6756571871775,0.184,17.63,0.27,-0.02,0,1.36,201.967358235981,0.9,18.18,0.65,0.73,0.56,0.28,116.650016425701,0.734,35.66,0.25,0.01,-0.02,1.22,181.094530382518,0.336,1.02,0.37,0.06,-0.11,1.36,188.622340078592,0.933,367.483333333333
nwis_071912213,352.984309267951,2.09999135613999,-515.352968493579,-2.88573557484443,12.7913387271376,12.2342725516322,0.97,0.31,0.19,0.14,0.84,157.661181922003,0.854,-1.41,-0.29,-0.2,0.14,0.71,358.398973409327,0.848,15.98,0.17,0.01,-0.01,1.37,220.000129669324,0.872,5.14,0.62,0.69,0.55,0.17,94.40653852381,0.637,35.01,0.25,0.02,0,1.22,181.756148050748,0.311,1.13,0.32,0.06,-0.06,1.35,184.363876796646,0.957,611.088888888889
nwis_07191222,171.541461029812,1.0261358152395,-357.421114904842,-2.01275483112481,12.846769954116,8.37235962501433,0.47,0.34,0.23,0.16,0.73,155.420383616466,0.824,-0.98,-0.3,-0.25,0.17,0.68,352.898548167232,0.784,16.27,0.22,0.01,-0.02,1.38,213.769242096053,0.893,1.47,0.67,0.63,0.46,0.29,104.065781325035,0.542,35.15,0.25,0.02,-0.01,1.22,181.012793492081,0.313,2.17,0.35,0.16,-0.04,1.28,183.42423534887,0.97,460.966666666667
nwis_07239450,1613.89080938188,10.8098722858714,-1663.85799890474,-7.77017188674202,13.7646964754208,13.3258134696333,4.41,0.37,0.2,0.11,0.98,179.84764398536,0.567,-4.55,-0.19,-0.15,0.15,0.85,355.874537804935,0.331,17.63,0.29,-0.08,0.01,1.34,196.96261652811,0.748,1.65,0.44,0.46,0.31,0.62,131.029319594041,0.77,37.61,0.21,0,0,1.27,173.470917247293,0.315,1.32,0.09,0.3,0.36,0.87,132.494859767175,0.89,628.6
nwis_07241550,987.439462851328,7.23562990805615,-1037.87691204064,-5.85010558659228,13.4666487744264,12.6911315774365,2.7,0.42,0.34,0.21,0.65,181.240803348672,0.854,-2.84,-0.29,-0.18,0.11,0.88,38.2583272258892,0.797,18.45,0.26,-0.06,-0.02,1.34,197.638784572143,0.828,5.19,0.44,0.57,0.41,0.39,156.145579523352,0.361,36.84,0.23,0,-0.02,1.25,177.396867031721,0.267,0.97,0.2,0.06,0.08,1.06,167.659313707885,0.987,396.7
nwis_07263296,38.9086402745091,0.291914498000681,-236.060433883915,-1.57878744621222,12.8600292851352,11.5213545018427,0.11,0.42,0.26,0.1,0.9,129.834986101382,0.418,-0.65,-0.32,-0.21,0.22,0.43,15.4717254014068,0.756,16.2,0.28,-0.02,-0.02,1.37,200.82495143164,0.885,5.31,0.77,0.68,0.48,0.11,65.2881304663854,0.321,35.23,0.25,0.03,0.02,1.16,181.269893629259,0.352,2.82,0.38,0.1,-0.16,1.35,198.660552521676,0.909,510.55
nwis_07332620,74.042504644953,0.693097855139045,-139.245851612772,-0.753095121282281,13.5195998219352,12.7521987668655,0.2,0.53,0.38,0.18,0.76,166.932297861454,0.874,-0.38,-0.38,-0.26,0.17,0.5,14.5327660153243,0.496,18.42,0.25,-0.07,0.01,1.33,195.366444890638,0.853,3.73,0.89,0.84,0.7,0.34,115.562146200356,0.699,36.99,0.23,0.01,0.02,1.21,179.829522429808,0.361,2.11,0.34,0.03,-0.1,1.37,180.919162637546,0.93,842.3
nwis_07332622,55.0268525351568,0.496128388094365,-138.942842134074,-0.918264961117801,13.3881733604682,12.4594225970407,0.15,0.51,0.4,0.19,0.79,122.897652848626,0.649,-0.38,-0.43,-0.46,0.33,0.39,310.545023527939,0.211,18.67,0.26,-0.08,-0.01,1.35,200.491763479172,0.85,10.57,0.89,0.82,0.64,0.24,111.071740557014,0.767,36.65,0.24,0.01,0.02,1.2,182.498869845834,0.4,2.62,0.41,0.1,-0.11,1.36,186.579519042362,0.922,688.95
nwis_07374000,287.955288242672,2.35529104718663,-893.071546642188,-4.61460146008998,14.076045116028,13.9475769325886,0.79,0.44,0.33,0.21,0.58,276.915527869444,0.711,-2.45,-0.25,-0.1,0.14,0.79,30.5463303863311,0.649,18.42,0.28,-0.04,-0.05,1.38,210.990165739447,0.928,14129.58,0.3,0.1,-0.01,1.02,108.051615511095,0.991,38.54,0.21,-0.01,0.08,1.12,175.403793581967,0.446,0.56,0.15,-0.03,0.04,1.32,187.557083543524,0.957,271.725
nwis_08049500,336.006987373507,2.12842116749346,-562.999924258232,-2.5087843810441,13.9877078829192,13.5980609986507,0.92,0.37,0.18,0.1,0.83,179.27417391965,0.699,-1.54,-0.19,-0.13,0.22,0.55,364.289322154857,0.377,21.74,0.18,-0.04,-0.01,1.35,203.977072055489,0.865,16.72,0.58,0.68,0.47,0.14,73.7728819282654,0.698,38.29,0.22,-0.01,0,1.24,177.084033159491,0.39,1.18,0.32,0.05,-0.04,1.28,172.220910509624,0.959,353.411688311688
nwis_08052700,26.4513515879791,0.197759652170306,-89.5215912755055,-0.550329585179472,13.9637901292596,12.0592258628792,0.07,0.45,0.32,0.2,0.45,109.680127796377,0.555,-0.25,-0.5,-0.58,0.48,0.14,296.296778015841,0.629,18.16,0.24,-0.1,0.01,1.31,196.097524695847,0.848,1.36,0.93,0.88,0.75,0.19,102.506131853709,0.672,38.22,0.23,-0.02,0,1.24,179.2974080564,0.382,1.15,0.32,0.35,0.18,0.87,114.950253591111,0.981,467.216666666667
nwis_08052745,83.4636531693447,0.520804931503539,-615.739018501137,-3.58174804935736,13.9532005582704,11.1590377766638,0.23,0.37,0.22,0.16,0.11,286.429068798607,0.524,-1.69,-0.34,-0.17,0.12,0.41,66.6991392146054,0.402,18.88,0.23,-0.05,-0.02,1.37,210.983672233395,0.872,2.57,0.57,0.65,0.57,0.37,160.166480816978,0.824,38.23,0.23,-0.03,0,1.24,180.183694043093,0.381,1.08,0.32,0.19,0.07,1.17,154.968621123146,0.96,403.625
nwis_08057410,165.217758359273,1.23462067450653,-291.042336611266,-1.66635004274084,13.8351306665376,12.7809748546573,0.45,0.39,0.32,0.21,0.75,222.969229966026,0.673,-0.8,-0.37,-0.07,0.05,1.04,61.1304748908771,0.495,21.26,0.18,-0.08,0,1.36,217.874052640817,0.838,174.25,0.46,0.17,-0.01,1.08,106.097617565302,0.861,37.8,0.23,0.01,0.02,1.21,176.562260078844,0.406,1.75,0.36,0.08,-0.06,1.38,177.005343370123,0.816,753.3
nwis_08062500,164.223620426574,1.31250417876522,-321.072627168502,-2.22192661640774,14.1108828673932,12.9366664346074,0.45,0.43,0.3,0.2,0.65,204.792475596367,0.811,-0.88,-0.41,-0.31,0.24,0.32,31.1206059641251,0.552,21.49,0.2,-0.05,-0.01,1.36,204.309837994601,0.902,98.4,0.61,0.59,0.3,0.63,62.4919830424758,0.882,38.61,0.22,0,0.02,1.21,180.469943781016,0.393,2.1,0.23,-0.03,-0.03,1.2,167.317144904955,0.98,594.2
nwis_08065350,256.508078685057,2.37271979874873,-698.142919441393,-3.74639526438484,13.99709042508,12.5122682853914,0.7,0.53,0.36,0.13,0.63,216.382657694277,0.874,-1.91,-0.33,-0.06,0.05,0.49,345.374854032388,0.777,21.15,0.21,-0.05,-0.02,1.36,203.064600310049,0.926,150.4,0.63,0.56,0.24,0.81,82.353171635602,0.968,38.28,0.22,0.02,0.04,1.19,179.065960069652,0.375,1.13,0.17,0,0.09,0.99,160.347237869402,0.989,609.633333333333
nwis_08068000,174.573321634425,1.32352463286774,-381.051792089901,-2.09204420214272,13.6014204170208,13.2678793612779,0.48,0.45,0.25,0.12,0.24,180.342087610484,0.818,-1.04,-0.25,-0.19,0.22,0.49,353.926924668842,0.676,21.69,0.17,-0.08,0.02,1.33,207.159744178113,0.859,24.69,0.84,0.8,0.61,0.35,123.737638680219,0.836,37.23,0.23,0.02,0.07,1.17,182.911094401926,0.457,0.92,0.19,-0.02,0.01,1.33,183.98206358011,0.967,572.666666666667
nwis_08068500,247.230211994686,1.57548545233912,-392.977192235214,-2.11228784332053,14.109303287016,13.0914488367889,0.68,0.4,0.17,0.08,0.81,181.821583270243,0.781,-1.08,-0.26,-0.22,0.17,0.75,2.75900479013652,0.53,22.29,0.17,-0.09,-0.01,1.32,198.219367333561,0.851,4.83,0.75,0.79,0.65,0.09,129.429952179521,0.828,38.63,0.22,0,0.04,1.2,179.248039431577,0.434,1.62,0.22,-0.05,-0.06,1.37,179.418675009198,0.92,516.89375
nwis_08070200,72.1797375503235,0.524931186070709,-205.874293960201,-1.06413832785287,13.9518190744912,11.8856972801151,0.2,0.45,0.21,0.09,0.59,185.094308543716,0.897,-0.56,-0.26,-0.21,0.18,0.62,321.182006227856,0.567,20.72,0.18,-0.07,-0.01,1.34,199.620886005059,0.896,6.82,0.8,0.77,0.6,0.15,100.85661695938,0.867,38.19,0.22,0.02,0.06,1.18,178.683279515768,0.45,2.28,0.23,0.01,-0.04,1.35,176.708757556318,0.952,773.122222222222
nwis_08171290,309.470369410528,1.84917653321129,-360.727012904695,-2.60948059726703,14.0085172453464,10.0748656085189,0.85,0.31,0.22,0.07,0.64,188.080062383284,0.854,-0.99,-0.39,-0.32,0.1,0.21,341.847385367449,0.949,21.55,0.18,-0.03,-0.02,1.35,197.539295736523,0.79,3.69,0.61,0.45,0.25,0.45,26.8432022479437,0.865,38.38,0.2,0.02,0.04,1.18,180.173477196697,0.431,1.68,0.2,-0.02,-0.03,1.36,182.162401354308,0.928,656.4
nwis_08180700,349.948911909441,1.7509108285621,-728.649891717052,-3.12027835076055,14.4535357491235,13.8952653094286,0.96,0.25,0.08,0.15,0.39,186.789756745316,0.833,-1.99,-0.2,0.01,0.13,0.44,7.28987969715279,0.701,21.52,0.14,-0.08,-0.01,1.35,198.08308786193,0.88,1.73,0.44,0.42,0.4,0.16,118.077831422471,0.552,39.56,0.2,-0.01,0.03,1.21,180.345607690741,0.521,1.15,0.26,-0.04,-0.02,1.26,177.672401449535,0.98,417.18
nwis_08181500,219.517114020901,1.33817146469131,-465.475478731023,-2.04247078064259,14.2577761001592,13.6814172413173,0.6,0.37,0.16,0.08,0.72,163.952953785975,0.81,-1.27,-0.19,-0.11,0.18,0.75,2.46284008195841,0.468,23.84,0.11,-0.08,0,1.33,203.705227626005,0.864,5.12,0.52,0.68,0.59,0.14,156.013326632781,0.578,39.03,0.21,0,0.04,1.2,180.814681631094,0.506,1.78,0.27,0.01,0,1.29,173.955141703599,0.976,463.933333333333
nwis_08181800,157.021650336696,1.19485220692623,-319.663812125405,-1.61175161132338,14.3676103992232,13.8517035816617,0.43,0.44,0.34,0.22,0.67,176.626605109608,0.848,-0.87,-0.25,-0.32,0.3,0.41,10.7241070644056,0.211,24.51,0.11,-0.07,0,1.32,203.741577246114,0.851,12.32,0.55,0.64,0.51,0.07,145.229416762354,0.69,39.33,0.21,0,0.04,1.2,180.91007094501,0.503,1.49,0.29,0.02,-0.01,1.25,174.2024727909,0.982,444.1
nwis_08188060,230.013344541732,1.78515536639111,-357.808427518295,-1.79855123208675,13.976561320344,13.7858044818975,0.63,0.47,0.31,0.15,0.47,181.420534301169,0.796,-0.98,-0.24,-0.23,0.19,0.68,361.384259353371,0.31,22.85,0.16,-0.1,-0.01,1.33,200.107949159716,0.892,12.12,0.51,0.61,0.45,0.21,143.282996812202,0.797,38.27,0.22,0.01,0.05,1.19,182.4764554545,0.467,0.86,0.22,0.1,0.03,1.15,161.219447477386,0.989,549.975
nwis_08211200,245.750794273711,1.79984424392762,-423.991259398935,-2.28260494920577,14.5510239472416,14.0886598514183,0.67,0.41,0.31,0.17,0.84,197.30094495475,0.868,-1.16,-0.26,-0.22,0.2,0.7,16.7969355981488,0.667,23.36,0.15,-0.14,-0.01,1.32,200.277479071649,0.853,5.66,0.56,0.75,0.64,0.3,172.022561345832,0.967,39.84,0.21,-0.01,0.06,1.2,182.668585291915,0.506,1.01,0.22,0.07,0.08,0.94,175.645738316816,0.994,649.625
nwis_08375300,187.143207354065,1.12570265838327,-369.485605506315,-2.05982256361481,15.428326437468,15.2889961247638,0.51,0.36,0.16,0.14,0.7,151.625882272099,0.676,-1.01,-0.31,-0.19,0.16,0.74,357.853780426225,0.541,24.27,0.13,-0.15,0.03,1.26,184.579237739722,0.839,16.33,0.67,0.61,0.39,0.63,258.394805770596,0.892,42.22,0.14,-0.09,0.03,1.22,158.787564562332,0.44,0.32,0.12,0.25,0.2,0.85,212.7820868495,0.996,136.32
nwis_08412500,993.316497087362,7.12029684588159,-1225.9104349977,-10.3032648874337,14.973059447892,14.3630289625714,2.72,0.35,0.31,0.12,0.95,173.497931157338,0.675,-3.36,-0.45,-0.41,0.15,1.11,13.9723527517084,0.723,18.23,0.22,-0.04,-0.05,1.35,211.766088998116,0.792,2.91,0.39,0.05,0.02,0.98,167.78069166358,0.868,41.02,0.19,-0.07,-0.01,1.27,174.525347944494,0.34,0.56,0.24,0.01,-0.03,1.32,176.529832759521,0.831,171.2
nwis_08437710,2710.94327993599,16.1513355006693,-3140.23370608652,-16.6811767551906,15.047211438131,14.804357238243,7.42,0.3,0.22,0.21,0.68,168.666686552151,0.908,-8.59,-0.22,-0.26,0.23,0.68,3.74714185535978,0.934,19.38,0.21,-0.1,-0.02,1.34,196.915041892165,0.801,0.75,0.71,0.54,0.23,0.2,12.9377471845331,0.989,41.18,0.18,-0.06,0,1.24,165.94274554326,0.385,0.28,0.16,0.22,0.12,0.8,214.938543259996,0.997,100
nwis_08446500,3124.02723844277,16.8719533224528,-2712.4510570465,-10.4808507020854,14.8602959075592,14.4529314570487,8.55,0.3,0.06,0.11,0.62,173.397007631794,0.868,-7.42,-0.16,-0.07,0.14,0.61,340.663488202829,0.855,19.75,0.2,-0.11,-0.02,1.32,195.862559298822,0.776,0.54,0.56,0.61,0.47,0.6,326.517458016509,0.971,40.68,0.17,-0.04,-0.01,1.23,165.007194719634,0.378,0.34,0.19,0.16,0.01,1.21,231.315892141603,0.985,128.6
nwis_08447000,1246.43989997574,8.31316758939413,-1293.15095668498,-6.66318255645849,14.9094972462996,14.4905461954767,3.41,0.4,0.17,0.1,0.3,164.756586771391,0.938,-3.54,-0.28,-0.06,0.09,0.26,299.631246015825,0.865,20.79,0.18,-0.11,-0.02,1.35,198.574595937646,0.859,1.33,0.49,0.41,0.2,0.4,24.5954086574821,0.988,40.79,0.19,-0.05,-0.01,1.26,171.895559894758,0.4,0.52,0.26,0.22,0.07,1.09,190.667252255456,0.992,276.525
nwis_08447300,1151.39731563182,5.47896624639429,-1353.57593580917,-5.42741398419542,14.9821408354716,14.7121543515941,3.15,0.23,0.09,0.07,1.1,175.329130470891,0.831,-3.7,-0.16,-0.1,0.08,0.57,8.44011667317139,0.893,21.54,0.16,-0.09,-0.02,1.35,200.751629248426,0.822,2.72,0.24,0.29,0.23,0.48,45.1642872322467,0.988,40.99,0.19,-0.05,0,1.25,172.062481804658,0.41,0.56,0.22,0.06,0,1.17,193.053974323032,0.988,272.375
nwis_09041400,258.417806740987,1.47260019717369,-534.392773323362,-3.82790001968846,12.8769561846072,12.4001712624624,0.71,0.3,0.2,0.13,0.77,250.435057034378,0.434,-1.46,-0.48,-0.17,-0.03,1.15,195.215411036286,0.653,7.01,0.33,0.08,-0.07,1.35,219.088551418599,0.923,1.76,0.58,0.64,0.4,0.65,171.322337036925,0.969,35.28,0.22,0.03,0,1.29,168.175304215128,0.382,0.22,0.42,0.18,-0.02,1.34,192.213068711597,0.942,158.75
nwis_09406000,239.31749308637,1.59652734809028,-418.556848597423,-3.10447474749047,14.3106620584536,13.6165333116854,0.66,0.35,0.2,0.17,0.66,250.890096990671,0.603,-1.15,-0.41,-0.25,0.09,0.92,109.228533251854,0.197,13.33,0.28,0.13,-0.01,1.32,208.633671153034,0.774,9.15,0.6,0.75,0.59,0.31,23.1137122085689,0.844,39.21,0.24,-0.01,-0.01,1.31,172.501166177303,0.331,0.49,0.17,-0.23,0.02,1.29,205.725533983926,0.824,217
nwis_10129900,265.095107997072,1.66378431339682,-595.507176473491,-3.15025858740528,13.6251854706016,10.1621614877576,0.73,0.4,0.22,0.1,1.07,194.811352573577,0.647,-1.63,-0.26,-0.22,0.16,0.47,49.1823295991023,0.664,9.74,0.32,0.05,-0.04,1.3,206.360155141708,0.883,0.17,0.44,0.5,0.38,0.52,103.944329680905,0.891,37.3,0.23,0.02,-0.01,1.29,166.987648557119,0.366,0.53,0.44,0.17,0.04,1.27,189.881498418535,0.972,348.122222222222
nwis_10133650,351.739483177678,2.22604516302239,-275.985645558493,-1.83628003227587,13.7269034712852,11.1897029458552,0.96,0.37,0.28,0.2,0.89,182.65118306577,0.756,-0.76,-0.41,-0.38,0.3,0.75,359.226092603091,0.851,8.11,0.39,0.11,-0.03,1.34,200.641762836788,0.818,0.52,0.47,0.58,0.44,0.58,123.3599807932,0.953,37.57,0.23,0.02,-0.01,1.29,166.594181179234,0.367,0.6,0.42,0.17,0.02,1.31,187.344066518355,0.966,374.95
nwis_10133800,405.227445473035,2.5364820490242,-354.645989500903,-2.12809646103867,13.468320310844,9.19701536334593,1.11,0.37,0.18,0.06,1.16,184.930193511211,0.499,-0.97,-0.35,-0.18,0.09,0.99,18.0434914311633,0.629,9.11,0.38,0.11,-0.05,1.34,206.102105668469,0.866,0.97,0.49,0.56,0.36,0.74,125.89520926975,0.964,36.87,0.24,0.03,-0.01,1.29,169.950598850973,0.356,0.9,0.42,0.01,-0.09,1.38,203.657497850922,0.925,540.144444444444
nwis_10133980,480.308490929796,2.55671673830983,-230.478128039754,-1.59820149686074,13.8361642958448,11.0904559618962,1.31,0.27,0.12,0.09,0.72,206.030349056288,0.236,-0.63,-0.38,-0.23,0.12,0.94,28.073668344685,0.419,9.35,0.38,0.07,-0.07,1.37,200.152009216559,0.717,0.93,0.35,0.28,0.15,1.08,82.4562536465572,0.826,37.8,0.24,0.01,-0.03,1.32,170.14248488929,0.255,0.52,0.32,0.1,-0.06,1.38,167.066093949741,0.824,317
nwis_11044000,331.448458512107,2.00628605396183,-799.569034694019,-4.5124859244501,15.8773234315752,14.2357669059128,0.91,0.38,0.15,0.05,1.08,161.597281602872,0.752,-2.19,-0.35,-0.06,0.02,0.85,54.3837731790526,0.698,18.93,0.15,-0.04,0,1.32,214.2293322823,0.902,0.35,0.6,0.76,0.67,0.22,41.4349222924021,0.174,43.45,0.19,-0.06,-0.02,1.32,174.033893628809,0.507,1.69,0.12,-0.03,0.07,1.28,147.255859805303,0.973,906.42
nwis_11128500,506.995102323403,3.27413011106071,-1111.10362998252,-5.32011443594298,16.0132132499472,15.545656591366,1.39,0.4,0.33,0.19,0.56,177.269000765164,0.936,-3.04,-0.21,-0.27,0.25,0.4,19.8345553233225,0.797,17.6,0.1,-0.02,-0.04,1.35,207.999141198569,0.851,1.9,0.87,0.89,0.81,0.18,81.1345489076993,0.615,43.87,0.19,-0.09,-0.04,1.31,172.849427684694,0.388,0.91,0.14,0.23,0.11,1.14,115.45732032181,0.964,749.633333333333
nwis_11273400,1138.08214885311,8.01157796090098,-1257.46680826228,-5.97365441266371,15.4384718198508,14.5539560200838,3.11,0.45,0.29,0.11,1.07,184.961918499257,0.922,-3.44,-0.24,-0.09,0.07,1.09,7.56875956825485,0.896,18.89,0.19,-0.07,-0.01,1.35,190.927248474169,0.874,6.97,0.44,0.34,0.29,0.72,41.0761107242357,0.961,42.24,0.25,-0.05,-0.04,1.33,174.80226025187,0.518,1,0.28,0.4,0.28,0.85,72.4865645687162,0.983,515.125
nwis_11447650,87.4005104718619,0.74098083497642,-549.017046675812,-2.67401148546114,14.4955120153536,13.8197508569801,0.24,0.45,0.29,0.12,0.81,158.714868129117,0.663,-1.5,-0.24,-0.07,0.14,0.71,159.626588044711,0.486,16.12,0.16,-0.08,-0.02,1.36,199.658486219043,0.863,638.31,0.31,0.49,0.32,0.64,45.282682559785,0.921,39.61,0.28,-0.04,-0.06,1.31,177.705156052927,0.523,1.91,0.11,-0.04,0,1.28,151.20535866424,0.842,701
nwis_11462500,159.461189671069,1.02607848354173,-229.143679123424,-1.1283598344294,14.929744646245,13.0969993979961,0.44,0.38,0.18,0.19,0.76,158.938535767394,0.956,-0.63,-0.22,-0.16,0.19,0.13,217.221022056251,0.858,14.34,0.13,-0.07,0.05,1.22,211.888043993619,0.93,10.24,0.63,0.73,0.59,0.44,23.4841661812896,0.629,40.86,0.26,-0.03,-0.05,1.31,176.353424922556,0.518,1.47,0.16,0.08,0.06,1.25,140.909874435277,0.968,898.56
nwis_11463980,256.493349793299,1.1635596455616,-255.958215159378,-1.09002434677225,14.9446643681664,13.1613826612423,0.7,0.27,0.2,0.24,0.51,112.869606030008,0.972,-0.7,-0.18,-0.03,0.16,0.6,321.963730577053,0.942,17.57,0.15,-0.04,0.01,1.34,200.156271408108,0.908,5.2,0.37,0.22,-0.03,1.02,53.3595065509026,0.98,40.92,0.25,-0.03,-0.05,1.32,175.377794936625,0.486,1.25,0.18,0.01,-0.02,1.34,154.224975962261,0.958,1066.5
nwis_11467000,108.326016385379,0.792270046464877,-147.987279347157,-1.13152991070702,14.661659697741,11.8467245272125,0.3,0.45,0.28,0.19,0.74,131.172878558735,0.942,-0.41,-0.42,-0.33,0.21,0.64,247.820861236095,0.869,16.58,0.16,-0.05,0,1.35,195.183936146302,0.897,29.76,0.77,0.75,0.55,0.5,31.3850324992454,0.83,40.14,0.26,-0.04,-0.06,1.31,175.180903695887,0.539,3.7,0.11,-0.03,0.03,1.18,182.190005274951,0.989,1266.675
nwis_12100490,322.813444078165,2.48965764038012,-388.009915107,-3.4512019969545,10.1970027138168,9.29744700990568,0.88,0.47,0.22,0.06,1.01,205.434648261578,0.498,-1.06,-0.53,-0.34,0.08,0.81,246.570319181447,0.755,9.93,0.25,0.01,0.04,1.32,203.412461390578,0.744,46.37,0.3,0.23,0.18,0.87,59.8339724520258,0.866,27.86,0.37,0.13,0,1.18,174.101009704207,0.357,1.14,0.19,0.02,-0.05,1.4,172.668966442589,0.82,630.5
nwis_12101100,183.426944204188,1.0171049267774,-107.201174503288,-0.559649189138353,10.334483737452,9.42755046508662,0.5,0.3,0.11,0.14,0.7,202.732807058819,0.435,-0.29,-0.26,-0.15,0.19,0.37,124.93440560863,0.605,9.64,0.18,-0.05,0.03,1.24,224.10258458343,0.768,1.51,0.69,0.67,0.48,0.46,360.952693695801,0.824,28.31,0.35,0.14,0.02,1.18,179.12442523488,0.416,0.98,0.21,0.16,-0.03,1.36,187.050280023732,0.825,678.9
