Site_ID,ann_GPP_C,upper_GPP_C,ann_ER_C,lower_ER_C,PAR_sum,Stream_PAR_sum,gpp_C_mean,gpp_C_cv,gpp_C_skew,gpp_C_kurt,gpp_C_amp,gpp_C_phase,gpp_C_ar1,er_C_mean,er_C_cv,er_C_skew,er_C_kurt,er_C_amp,er_C_phase,er_C_ar1,Wtemp_mean,Wtemp_cv,Wtemp_skew,Wtemp_kurt,Wtemp_amp,Wtemp_phase,Wtemp_ar1,Disch_mean,Disch_cv,Disch_skew,Disch_kurt,Disch_amp,Disch_phase,Disch_ar1,PAR_mean,PAR_cv,PAR_skew,PAR_kurt,PAR_amp,PAR_phase,PAR_ar1,LAI_mean,LAI_cv,LAI_skew,LAI_kurt,LAI_amp,LAI_phase,LAI_ar1,MOD_ann_NPP
nwis_04124000,151.455563100857,1.04715792032467,-343.480076669006,-1.68722343055436,10.9686505239752,10.1459477102365,0.41,0.43,0.21,0.03,1.17,197.6228855121,0.644,-0.94,-0.26,-0.15,0.2,0.63,340.432034188188,0.904,9.37,0.43,0.04,-0.06,1.36,200.680637518563,0.913,31.39,0.14,0.31,0.21,0.6,83.2864351336722,0.955,30.02,0.31,0.06,-0.02,1.22,170.944529269402,0.243,1.16,0.49,0.27,-0.01,1.3,198.743557579885,0.946,681.077777777778
nwis_04124200,40.3350639056375,0.387715266508883,-820.36698060896,-4.07563854930282,10.9578839015117,3.79829266499606,0.11,0.46,0.37,0.23,0.75,194.864946621837,0.277,-2.25,-0.28,-0.02,0.08,0.35,345.790510130095,0.879,10.42,0.41,0.04,-0.09,1.39,210.386576545955,0.911,35.78,0.13,0.29,0.21,0.76,89.1589780926026,0.898,29.99,0.32,0.07,-0.03,1.22,172.861779483804,0.262,1.89,0.55,0.32,-0.05,1.26,200.938250393497,0.922,715.52
nwis_04125460,204.384628054809,1.41217580867044,-742.836429817473,-3.14016516989948,10.9646925950856,9.94188656234852,0.56,0.44,0.23,0.05,0.96,203.675017175872,0.803,-2.03,-0.17,-0.1,0.12,0.57,7.81739164526163,0.855,8.64,0.36,0,-0.05,1.36,202.101495704349,0.873,8.52,0.16,0.43,0.28,0.65,89.8410604490903,0.863,30.01,0.32,0.06,-0.02,1.23,172.281087670703,0.244,2.26,0.49,0.3,-0.07,1.27,203.015106626373,0.893,719.444444444444
nwis_04125550,104.671320162502,0.813503089703935,-1198.59020534379,-5.04075794492354,10.9314558194688,9.62765714097883,0.29,0.45,0.3,0.15,0.84,186.220414798153,0.29,-3.28,-0.22,0.09,0.07,0.28,74.7433653326168,0.77,10.42,0.42,0.04,-0.09,1.39,209.883118942995,0.905,51.38,0.13,0.27,0.23,0.57,86.401539754495,0.919,29.93,0.32,0.07,-0.03,1.23,172.321534629633,0.261,2.1,0.53,0.29,-0.07,1.27,201.644474123002,0.915,768.814285714286
nwis_04136000,432.906656404384,2.75051064811517,-504.965756111353,-2.69002083307647,10.988482687728,9.83623596606617,1.18,0.39,0.18,0.02,1.23,193.91297217278,0.592,-1.38,-0.31,-0.1,0.02,1.2,8.90226807974925,0.576,9.44,0.4,0.07,-0.06,1.35,200.590396346055,0.855,23.28,0.17,0.32,0.21,0.61,93.3248807740521,0.943,30.08,0.32,0.07,-0.02,1.21,171.357352867322,0.235,2.02,0.32,0.25,0.04,1.28,204.597142142611,0.959,760.133333333333
nwis_04136500,93.3252227909306,0.847422424188418,-721.203632190124,-3.99880188946897,10.9731778443896,9.27458540814377,0.26,0.51,0.38,0.17,0.93,195.096574851867,0.204,-1.97,-0.32,-0.09,0.08,0.31,188.626931536995,0.728,9.91,0.45,0.06,-0.08,1.37,203.405918876695,0.91,28.37,0.15,0.33,0.22,0.67,98.1340222580638,0.915,30.04,0.32,0.07,-0.02,1.21,171.522586199407,0.235,1.07,0.44,0.27,0.02,1.29,197.418229342228,0.951,616.788888888889
nwis_04136900,692.27150357453,3.86265129533042,-1017.71576995195,-5.12839527955852,11.0756342376855,8.68173933921265,1.9,0.33,0.13,0.04,1.16,193.335191608824,0.67,-2.79,-0.23,-0.1,0.17,0.86,13.4112905049327,0.868,10.06,0.42,0.08,-0.07,1.37,202.505534279909,0.883,33.81,0.15,0.31,0.18,0.69,85.5791141715327,0.943,30.32,0.32,0.07,-0.02,1.2,170.911038463849,0.25,1.87,0.46,0.37,0,1.21,198.479730962736,0.928,708.7
nwis_04137005,91.6770164325179,0.829082362213369,-828.90420336929,-4.02913600907902,11.1479913622056,9.40887337668444,0.25,0.52,0.36,0.16,0.9,186.487688100847,0.156,-2.27,-0.25,-0.09,0.09,0.01,229.395586920014,0.8,10.38,0.44,0.06,-0.08,1.38,205.118296207404,0.921,34.69,0.14,0.29,0.22,0.45,99.6358475787444,0.915,30.51,0.32,0.07,-0.01,1.22,170.497737689116,0.149,1.66,0.32,0.22,0,1.29,201.646123445908,0.955,723.066666666667
nwis_04137500,189.429492596907,1.58787487754764,-1272.58466361261,-6.0228338080122,11.5652809700624,10.1850643590961,0.52,0.48,0.35,0.15,1.01,218.166892277322,0.447,-3.48,-0.24,-0.01,0.1,0.52,62.1711338269184,0.743,11.31,0.45,0.06,-0.1,1.39,213.838808498277,0.894,38.51,0.15,0.33,0.24,0.57,100.470810183601,0.879,31.66,0.33,0.08,-0.03,1.23,174.006399181207,0.262,2.12,0.49,0.3,-0.04,1.27,203.062668448932,0.915,822.544444444444
nwis_04142000,312.311123141426,1.99033377526204,-347.210026566822,-1.9947137295795,11.5259192282556,10.0855513067339,0.85,0.4,0.12,0.04,1.08,193.032152804488,0.793,-0.95,-0.34,-0.13,0.06,1.05,362.068240424095,0.761,10.49,0.43,0.06,-0.05,1.35,203.306537764374,0.888,9.92,0.34,0.5,0.36,0.69,85.0352691474207,0.893,31.53,0.31,0.08,-0.01,1.23,173.142526520618,0.248,1.98,0.47,0.33,-0.02,1.26,200.525506675758,0.92,740.1
