Site_ID,Name,Lat,Lon,ann_GPP,upper_GPP,ann_ER,lower_ER,ndays,nyears,coverage
CN-Du2,Duolun_grassland (D01),42.0467,116.2836,297.971,3.906185,-240.158,-3.10428,666,2,0.91
CN-Ha2,Haibei Shrubland,37.6086,101.3269,848.179,8.0154265,-678.601,-5.3920125,1090,3,0.99
CN-HaM,Haibei Alpine Tibet site,37.37,101.18,478.7895,6.504257,-317.4035,-3.895235,540,2,0.74
CN-Qia,Qianyanzhou,26.7414,115.0581,1757.51666666667,9.242274,-1200.52333333333,-6.4000725,1093,3,1
CN-Sw2,Siziwang Grazed (SZWG),41.7902,111.8971,361.298,1.31381,-4.6887722965,-1.52416e-06,731,2,1
CZ-BK1,Bily Kriz forest,49.5021,18.5369,1556.3625,11.018755,-822.184,-5.13227,1614,5,0.88
CZ-BK2,Bily Kriz grassland,49.4944,18.5429,NA,10.62244,NA,-6.55964,247,1,0.68
CZ-wet,CZECHWET,49.0247,14.7704,1193.03333333333,10.843325,-1135.56566666667,-7.798009,2986,9,0.91
DE-Akm,Anklam,53.8662,13.6834,1368.44033333333,13.32731,-1363.66233333333,-9.487575,1907,6,0.87
DE-Geb,Gebesee,51.1001,10.9143,1094.75885714286,14.724225,-879.065857142857,-6.64577,4116,14,0.81
DE-Gri,Grillenburg,50.9495,13.5125,1643.79181818182,12.425815,-1486.29772727273,-9.249999,3732,11,0.93
DE-Hai,Hainich,51.0792,10.453,1643.60461538462,14.100575,-1079.24146153846,-5.934642,3930,13,0.83
DE-Kli,Klingenberg,50.8929,13.5225,1350.56590909091,14.40786,-1096.98772727273,-7.36288,3652,11,0.91
DE-Lkb,Lackenberg,49.0996,13.3047,468.7088,4.960532,-732.7534,-4.54095,1292,5,0.71
DE-Obe,Oberbärenburg,50.7836,13.7196,1809.88142857143,13.028465,-1435.14142857143,-8.73672,2320,7,0.91
DE-RuR,Rollesbroich,50.6219,6.3041,1825.6525,11.35227,-1679.4375,-9.21271,1428,4,0.98
DE-RuS,Selhausen Juelich,50.8659,6.4472,1666.535,15.82526,-1069.07975,-6.38341,1407,4,0.96
DE-Seh,Selhausen,50.8706,6.4497,1617.4,13.94546,-950.7285,-6.03771,1347,4,0.92
